TF	target	importance
UGR	PGD2	4.741587330030748
GATA4	CTNNB1	4.509091873707784
WT1mKTS	DKK1	4.373941678257393
WT1mKTS	FGF9	4.038498107518557
GATA4	PGD2	3.3975938793386145
GATA4	SOX9	2.596625247881113
GATA4	DHH	2.494787244251742
WT1mKTS	SOX9	2.4578090528116006
WT1mKTS	DHH	2.0969925673989906
WT1mKTS	PGD2	1.7667442281413959
GATA4	AMH	1.5241884743499414
