Gene1	Gene2	corVal
CBX2	UGR	0.499225980649516
SOX9	FGF9	0.496278406960174
FGF9	SOX9	0.496278406960174
FOXL2	NR0B1	0.495732393309833
NR0B1	FOXL2	0.495732393309833
AMH	PGD2	0.494856371409285
PGD2	AMH	0.494856371409285
AMH	FGF9	0.4902392559814
FGF9	AMH	0.4902392559814
AMH	DHH	0.489421735543389
DHH	AMH	0.489421735543389
PGD2	DHH	0.487786694667367
DHH	PGD2	0.487786694667367
SRY	PGD2	0.477857946448661
PGD2	SRY	0.477857946448661
AMH	SRY	0.461983049576239
SRY	AMH	0.461983049576239
NR5A1	DKK1	0.461416035400885
DKK1	NR5A1	0.461416035400885
DKK1	FGF9	0.451710792769819
FGF9	DKK1	0.451710792769819
DKK1	DHH	0.449000225005625
DHH	DKK1	0.449000225005625
NR5A1	DMRT1	0.429766744168604
DMRT1	NR5A1	0.429766744168604
SRY	DHH	0.41691142278557
DHH	SRY	0.41691142278557
SRY	FGF9	0.414709367734193
FGF9	SRY	0.414709367734193
NR5A1	FGF9	0.40948773719343
FGF9	NR5A1	0.40948773719343
NR5A1	PGD2	0.397035925898148
PGD2	NR5A1	0.397035925898148
DHH	DMRT1	0.385214130353259
DMRT1	DHH	0.385214130353259
FGF9	DMRT1	0.382689567239181
DMRT1	FGF9	0.382689567239181
NR5A1	DHH	0.364060601515038
DHH	NR5A1	0.364060601515038
NR5A1	CBX2	0.358366459161479
CBX2	NR5A1	0.358366459161479
NR5A1	AMH	0.332519312982825
AMH	NR5A1	0.332519312982825
GATA4	WNT4	0.320783019575489
WNT4	GATA4	0.320783019575489
WT1pKTS	PGD2	0.314019350483762
PGD2	WT1pKTS	0.314019350483762
WT1pKTS	CBX2	0.30515262881572
CBX2	WT1pKTS	0.30515262881572
WT1pKTS	AMH	0.298474461861547
AMH	WT1pKTS	0.298474461861547
UGR	NR5A1	0.276342908572714
NR5A1	UGR	0.276342908572714
GATA4	NR0B1	0.270455261381535
NR0B1	GATA4	0.270455261381535
GATA4	SRY	0.262619065476637
SRY	GATA4	0.262619065476637
DKK1	WT1mKTS	0.259314482862072
WT1mKTS	DKK1	0.259314482862072
WT1pKTS	FGF9	0.256033900847521
FGF9	WT1pKTS	0.256033900847521
WT1pKTS	DHH	0.249090227255681
DHH	WT1pKTS	0.249090227255681
NR0B1	WT1mKTS	0.239294982374559
WT1mKTS	NR0B1	0.239294982374559
WT1mKTS	DMRT1	0.229139728493212
DMRT1	WT1mKTS	0.229139728493212
SOX9	WT1mKTS	0.225650641266032
WT1mKTS	SOX9	0.225650641266032
SRY	WT1mKTS	0.223565589139729
WT1mKTS	SRY	0.223565589139729
GATA4	DKK1	0.222778069451736
DKK1	GATA4	0.222778069451736
GATA4	CTNNB1	0.216689417235431
CTNNB1	GATA4	0.216689417235431
GATA4	SOX9	0.211422785569639
SOX9	GATA4	0.211422785569639
GATA4	RSPO1	0.203813095327383
RSPO1	GATA4	0.203813095327383
WT1mKTS	DHH	0.203450086252156
DHH	WT1mKTS	0.203450086252156
WT1mKTS	RSPO1	0.197845946148654
RSPO1	WT1mKTS	0.197845946148654
GATA4	WT1pKTS	0.186049651241281
WT1pKTS	GATA4	0.186049651241281
AMH	WT1mKTS	0.16985674641866
WT1mKTS	AMH	0.16985674641866
GATA4	PGD2	0.168746718667967
PGD2	GATA4	0.168746718667967
GATA4	AMH	0.155808895222381
AMH	GATA4	0.155808895222381
GATA4	DHH	0.153113327833196
DHH	GATA4	0.153113327833196
WT1mKTS	CTNNB1	0.15000075001875
CTNNB1	WT1mKTS	0.15000075001875
UGR	WT1pKTS	0.146999174979375
WT1pKTS	UGR	0.146999174979375
GATA4	FGF9	0.130065251631291
FGF9	GATA4	0.130065251631291
WT1mKTS	PGD2	0.118739968499212
PGD2	WT1mKTS	0.118739968499212
GATA4	DMRT1	0.106712667816695
DMRT1	GATA4	0.106712667816695
FOXL2	WT1mKTS	0.102706067651691
WT1mKTS	FOXL2	0.102706067651691
WT1mKTS	FGF9	0.0894217355433886
FGF9	WT1mKTS	0.0894217355433886
WNT4	WT1mKTS	0.069099227480687
WT1mKTS	WNT4	0.069099227480687
GATA4	FOXL2	0.0601650041251031
FOXL2	GATA4	0.0601650041251031
GATA4	NR5A1	0.0555013875346884
NR5A1	GATA4	0.0555013875346884
WT1pKTS	WT1mKTS	0.037910447761194
WT1mKTS	WT1pKTS	0.037910447761194
CBX2	SRY	-0.0519867996699917
SRY	CBX2	-0.0519867996699917
NR5A1	WT1mKTS	-0.0616035400885022
WT1mKTS	NR5A1	-0.0616035400885022
CBX2	WNT4	-0.0846351158778969
WNT4	CBX2	-0.0846351158778969
GATA4	CBX2	-0.0859731493287332
CBX2	GATA4	-0.0859731493287332
SOX9	CBX2	-0.107498687467187
CBX2	SOX9	-0.107498687467187
NR0B1	DMRT1	-0.116404410110253
DMRT1	NR0B1	-0.116404410110253
UGR	FGF9	-0.147474686867172
FGF9	UGR	-0.147474686867172
NR0B1	SRY	-0.153377334433361
SRY	NR0B1	-0.153377334433361
UGR	SRY	-0.157521938048451
SRY	UGR	-0.157521938048451
UGR	AMH	-0.162793069826746
AMH	UGR	-0.162793069826746
FOXL2	DHH	-0.163028575714393
DHH	FOXL2	-0.163028575714393
NR0B1	DKK1	-0.166873171829296
DKK1	NR0B1	-0.166873171829296
CBX2	DKK1	-0.186724668116703
DKK1	CBX2	-0.186724668116703
CBX2	DMRT1	-0.196570914272857
DMRT1	CBX2	-0.196570914272857
UGR	PGD2	-0.201764044101103
PGD2	UGR	-0.201764044101103
FOXL2	FGF9	-0.210693767344184
FGF9	FOXL2	-0.210693767344184
NR0B1	CBX2	-0.21286432160804
CBX2	NR0B1	-0.21286432160804
SOX9	UGR	-0.219696992424811
UGR	SOX9	-0.219696992424811
CBX2	WT1mKTS	-0.223085577139429
WT1mKTS	CBX2	-0.223085577139429
FOXL2	AMH	-0.229606240156004
AMH	FOXL2	-0.229606240156004
FOXL2	PGD2	-0.236192904822621
PGD2	FOXL2	-0.236192904822621
CTNNB1	DHH	-0.246157653941349
DHH	CTNNB1	-0.246157653941349
CBX2	FGF9	-0.248008700217505
FGF9	CBX2	-0.248008700217505
UGR	WT1mKTS	-0.25033525838146
WT1mKTS	UGR	-0.25033525838146
PGD2	CTNNB1	-0.251193279831996
CTNNB1	PGD2	-0.251193279831996
UGR	DHH	-0.255505887647191
DHH	UGR	-0.255505887647191
UGR	DMRT1	-0.259059476486912
DMRT1	UGR	-0.259059476486912
CBX2	PGD2	-0.2638400960024
PGD2	CBX2	-0.2638400960024
AMH	CBX2	-0.264216605415135
CBX2	AMH	-0.264216605415135
UGR	DKK1	-0.265233630840771
DKK1	UGR	-0.265233630840771
DHH	RSPO1	-0.270917272931823
RSPO1	DHH	-0.270917272931823
NR0B1	PGD2	-0.27841596039901
PGD2	NR0B1	-0.27841596039901
WT1pKTS	NR0B1	-0.279074476861922
NR0B1	WT1pKTS	-0.279074476861922
RSPO1	DMRT1	-0.289802745068627
DMRT1	RSPO1	-0.289802745068627
CBX2	DHH	-0.294484362109053
DHH	CBX2	-0.294484362109053
PGD2	RSPO1	-0.297056926423161
RSPO1	PGD2	-0.297056926423161
NR0B1	AMH	-0.299924998124953
AMH	NR0B1	-0.299924998124953
AMH	CTNNB1	-0.300225005625141
CTNNB1	AMH	-0.300225005625141
GATA4	UGR	-0.300382509562739
UGR	GATA4	-0.300382509562739
NR0B1	DHH	-0.301042526063152
DHH	NR0B1	-0.301042526063152
SOX9	NR0B1	-0.305799144978625
NR0B1	SOX9	-0.305799144978625
DKK1	RSPO1	-0.310342758568964
RSPO1	DKK1	-0.310342758568964
CTNNB1	FGF9	-0.314436360909023
FGF9	CTNNB1	-0.314436360909023
UGR	WNT4	-0.316362409060227
WNT4	UGR	-0.316362409060227
AMH	RSPO1	-0.323634590864772
RSPO1	AMH	-0.323634590864772
DKK1	CTNNB1	-0.340136503412585
CTNNB1	DKK1	-0.340136503412585
FOXL2	DMRT1	-0.343141078526963
DMRT1	FOXL2	-0.343141078526963
RSPO1	FGF9	-0.359798994974874
FGF9	RSPO1	-0.359798994974874
CTNNB1	DMRT1	-0.359942998574964
DMRT1	CTNNB1	-0.359942998574964
CBX2	CTNNB1	-0.376339908497712
CTNNB1	CBX2	-0.376339908497712
UGR	FOXL2	-0.379582989574739
FOXL2	UGR	-0.379582989574739
NR0B1	FGF9	-0.381710042751069
FGF9	NR0B1	-0.381710042751069
WNT4	DKK1	-0.382454061351534
DKK1	WNT4	-0.382454061351534
WNT4	PGD2	-0.390902272556814
PGD2	WNT4	-0.390902272556814
FOXL2	DKK1	-0.391209780244506
DKK1	FOXL2	-0.391209780244506
WNT4	DHH	-0.396114902872572
DHH	WNT4	-0.396114902872572
CBX2	RSPO1	-0.396491412285307
RSPO1	CBX2	-0.396491412285307
WNT4	SRY	-0.39929648241206
SRY	WNT4	-0.39929648241206
AMH	WNT4	-0.399662491562289
WNT4	AMH	-0.399662491562289
SOX9	RSPO1	-0.405922148053701
RSPO1	SOX9	-0.405922148053701
SOX9	FOXL2	-0.408077701942549
FOXL2	SOX9	-0.408077701942549
WT1pKTS	WNT4	-0.416458411460287
WNT4	WT1pKTS	-0.416458411460287
SRY	RSPO1	-0.420997524938124
RSPO1	SRY	-0.420997524938124
SOX9	CTNNB1	-0.425019125478137
CTNNB1	SOX9	-0.425019125478137
UGR	CTNNB1	-0.43038475961899
CTNNB1	UGR	-0.43038475961899
WNT4	DMRT1	-0.433032325808145
DMRT1	WNT4	-0.433032325808145
SRY	CTNNB1	-0.434101852546314
CTNNB1	SRY	-0.434101852546314
FOXL2	CBX2	-0.437526438160954
CBX2	FOXL2	-0.437526438160954
WNT4	FGF9	-0.438990474761869
FGF9	WNT4	-0.438990474761869
UGR	RSPO1	-0.44889522238056
RSPO1	UGR	-0.44889522238056
UGR	NR0B1	-0.462409060226506
NR0B1	UGR	-0.462409060226506
SOX9	WNT4	-0.482746568664217
WNT4	SOX9	-0.482746568664217
FOXL2	SRY	-0.528973224330608
SRY	FOXL2	-0.528973224330608
NR5A1	NR0B1	-0.586685667141679
NR0B1	NR5A1	-0.586685667141679
WT1pKTS	RSPO1	-0.59731193279832
RSPO1	WT1pKTS	-0.59731193279832
WT1pKTS	CTNNB1	-0.598840471011775
CTNNB1	WT1pKTS	-0.598840471011775
NR5A1	WNT4	-0.60049651241281
WNT4	NR5A1	-0.60049651241281
FOXL2	WT1pKTS	-0.69656041401035
WT1pKTS	FOXL2	-0.69656041401035
FOXL2	NR5A1	-0.730689267231681
NR5A1	FOXL2	-0.730689267231681
NR5A1	CTNNB1	-0.74515262881572
CTNNB1	NR5A1	-0.74515262881572
NR5A1	RSPO1	-0.774124353108828
RSPO1	NR5A1	-0.774124353108828
