Gene1	Gene2	EdgeWeight
FOXL2	CBX2	0.0286230510920145
AMH	WT1mKTS	0.0285835160225014
FGF9	GATA4	0.0284137560338752
DMRT1	NR5A1	0.0281829974741926
SRY	RSPO1	0.027933306824562
PGD2	WT1mKTS	0.0277207860272306
GATA4	WT1pKTS	0.027419537633413
NR0B1	SRY	0.0271239976771156
FGF9	WT1mKTS	0.0271080558202619
SOX9	RSPO1	0.0264871754560129
CBX2	RSPO1	0.0264220389572883
CTNNB1	DMRT1	0.0264210392039936
WNT4	CBX2	0.0257652241051556
NR5A1	UGR	0.0255824210874364
NR0B1	CBX2	0.0255748582375163
NR0B1	FOXL2	0.025374700860752
WT1mKTS	NR0B1	0.0252245768664955
WNT4	DMRT1	0.0251201467816844
GATA4	CBX2	0.0247055794626781
DMRT1	FOXL2	0.024617387404509
FOXL2	SRY	0.0238164287635232
CBX2	SRY	0.023379925984693
SRY	PGD2	0.0233729289973688
CBX2	DMRT1	0.023345732328407
SRY	AMH	0.0231032144053733
WNT4	DKK1	0.0230803260261556
GATA4	NR5A1	0.0229002984042959
SRY	FGF9	0.0228445798194139
DKK1	NR0B1	0.0227888800846219
RSPO1	SOX9	0.0227429590878004
CTNNB1	DKK1	0.0226754068127399
FGF9	NR5A1	0.0225560335209287
NR5A1	SRY	0.0224943067518774
DKK1	FOXL2	0.0224126978788182
WNT4	FGF9	0.022328607168412
SRY	DHH	0.0223165089212086
WNT4	WT1pKTS	0.0222203837270364
DHH	NR5A1	0.0221298666179305
SRY	WNT4	0.0216953116361825
CBX2	DKK1	0.0216299677821375
WT1pKTS	DKK1	0.0215536045015606
PGD2	CBX2	0.0213204695920359
FGF9	WNT4	0.021316158911095
DMRT1	NR0B1	0.0213055019421027
WT1pKTS	DMRT1	0.0212635517364536
GATA4	NR0B1	0.0209574054685982
WNT4	DHH	0.0205358772901338
WT1mKTS	NR5A1	0.0201005492079396
DHH	CBX2	0.0196979378812406
CBX2	WT1pKTS	0.0195983098026304
AMH	SRY	0.0194895965355902
CBX2	WNT4	0.0194586295271314
FGF9	CBX2	0.0193820094248134
CBX2	CTNNB1	0.0192905154727651
DHH	UGR	0.0191383695553894
PGD2	NR5A1	0.0186601537500645
FOXL2	NR0B1	0.0184573958523276
FGF9	UGR	0.0179140464160579
WNT4	PGD2	0.0178790203028721
SOX9	NR0B1	0.0178140071535338
WNT4	AMH	0.0177503956514321
PGD2	WNT4	0.0177117556777702
NR5A1	AMH	0.0175363750974957
UGR	NR5A1	0.0175094848312429
AMH	NR5A1	0.0174549415853507
AMH	UGR	0.0173875539545234
UGR	RSPO1	0.0172023448718027
RSPO1	SRY	0.0170765524139559
WT1pKTS	UGR	0.0167645326927964
WNT4	SRY	0.0167444187371917
DHH	WNT4	0.0163926071188769
UGR	CTNNB1	0.016340915343952
WT1pKTS	NR0B1	0.0160566419889796
PGD2	UGR	0.0155953126068604
DKK1	RSPO1	0.0154739294204892
UGR	WT1pKTS	0.0153213995749902
SOX9	WT1pKTS	0.0151936434770007
NR5A1	FGF9	0.0148075051977088
AMH	CBX2	0.0143911716004402
DMRT1	RSPO1	0.0142707525507122
NR0B1	WT1pKTS	0.0133508613610512
NR5A1	DMRT1	0.0132977972712504
WT1mKTS	WNT4	0.0132544354716391
NR5A1	DHH	0.0131628027848786
WT1pKTS	WNT4	0.0127827247997885
AMH	WNT4	0.0125994427127067
PGD2	RSPO1	0.0118416256836704
FOXL2	UGR	0.0117648083605098
FGF9	RSPO1	0.0112822377948391
NR5A1	DKK1	0.0111453164973181
UGR	FOXL2	0.0109869173967574
CBX2	FOXL2	0.0107028419009814
NR0B1	SOX9	0.0105596148704416
NR5A1	PGD2	0.0104791674069314
SOX9	CTNNB1	0.0103514222546771
CTNNB1	SOX9	0.0102774699616693
UGR	DMRT1	0.0098814004804176
RSPO1	DKK1	0.0098045507466723
GATA4	WNT4	0.0097236994115933
FOXL2	DMRT1	0.009550286181328
SOX9	FOXL2	0.0093707733661569
RSPO1	DHH	0.0092477827040673
FGF9	WT1pKTS	0.0089708534430131
RSPO1	DMRT1	0.0089040441215645
WT1mKTS	FOXL2	0.008876120027306
PGD2	WT1pKTS	0.008636256213501
UGR	DKK1	0.0084524355217523
FOXL2	DKK1	0.0080810912923657
WT1mKTS	RSPO1	0.0076430373472969
GATA4	SRY	0.0075990779640248
UGR	SOX9	0.0075489384664898
WT1mKTS	SRY	0.007414497057673
GATA4	CTNNB1	0.0073708138887136
GATA4	RSPO1	0.0071311643758383
DHH	WT1pKTS	0.0070764199116534
CBX2	SOX9	0.006987840438821
RSPO1	PGD2	0.0068282945709219
AMH	RSPO1	0.0067633261089384
WT1mKTS	CTNNB1	0.0067297001151557
NR0B1	DMRT1	0.006513281992466
AMH	WT1pKTS	0.0064132088865432
DHH	RSPO1	0.006237374056654
GATA4	FOXL2	0.0059927417162848
FGF9	CTNNB1	0.0056750051482915
WT1pKTS	SOX9	0.0056182904791014
RSPO1	FGF9	0.0056118842858668
NR0B1	DKK1	0.0055991711389212
RSPO1	AMH	0.0055744840616741
UGR	AMH	0.0054680080596302
CBX2	DHH	0.0053377648886746
DHH	CTNNB1	0.0053051522311069
CBX2	PGD2	0.0050726798913325
UGR	DHH	0.0049744453570796
CTNNB1	AMH	0.0041971324144024
PGD2	CTNNB1	0.0041622259357641
AMH	CTNNB1	0.0040626913688267
DHH	FOXL2	0.0040233499657283
CTNNB1	PGD2	0.0039698645021381
CTNNB1	DHH	0.0039369420997129
WT1mKTS	DMRT1	0.0039150430921857
AMH	FOXL2	0.0039030870451207
CBX2	AMH	0.0038797404458228
FGF9	FOXL2	0.0038717301916002
CTNNB1	FGF9	0.003862663164057
UGR	FGF9	0.003727170080934
PGD2	FOXL2	0.0036488396370269
FOXL2	SOX9	0.0035870900299774
CBX2	FGF9	0.0035464850012094
GATA4	SOX9	0.0035365362899082
WT1mKTS	SOX9	0.0034877000523438
GATA4	DMRT1	0.0034858465268787
WT1pKTS	PGD2	0.0034624247483028
WT1pKTS	FGF9	0.0033564571907036
WT1mKTS	AMH	0.0033511799053286
GATA4	DKK1	0.0031335501136322
WT1pKTS	AMH	0.0029586546977399
UGR	PGD2	0.0029120222044396
WT1pKTS	DHH	0.0029059191676598
WT1mKTS	DKK1	0.0029008200033217
FOXL2	FGF9	0.0027685091506076
GATA4	FGF9	0.0026888979181077
FOXL2	AMH	0.002658911959858
FOXL2	DHH	0.0024546619647148
GATA4	AMH	0.002414827364882
WT1mKTS	DHH	0.0023971672520934
GATA4	DHH	0.002179425735434
WT1mKTS	FGF9	0.0021223268245484
WT1mKTS	PGD2	0.0020502510291425
FOXL2	PGD2	0.0019463065467532
GATA4	PGD2	0.001721392820756
