TF	target	importance
FOXL2	CBX2	0.02862305109201454
AMH	WT1mKTS	0.028583516022501424
FGF9	GATA4	0.028413756033875276
DMRT1	NR5A1	0.028182997474192638
SRY	RSPO1	0.027933306824562014
PGD2	WT1mKTS	0.027720786027230646
GATA4	WT1pKTS	0.02741953763341307
NR0B1	SRY	0.027123997677115676
FGF9	WT1mKTS	0.0271080558202619
SOX9	RSPO1	0.02648717545601297
CBX2	RSPO1	0.026422038957288355
CTNNB1	DMRT1	0.02642103920399363
WNT4	CBX2	0.02576522410515567
NR5A1	UGR	0.025582421087436448
NR0B1	CBX2	0.02557485823751636
NR0B1	FOXL2	0.025374700860752056
WT1mKTS	NR0B1	0.025224576866495506
WNT4	DMRT1	0.025120146781684498
GATA4	CBX2	0.024705579462678165
DMRT1	FOXL2	0.024617387404509024
FOXL2	SRY	0.023816428763523204
CBX2	SRY	0.023379925984693045
SRY	PGD2	0.02337292899736881
CBX2	DMRT1	0.023345732328407063
SRY	AMH	0.02310321440537333
WNT4	DKK1	0.02308032602615566
GATA4	NR5A1	0.022900298404295975
SRY	FGF9	0.022844579819413912
DKK1	NR0B1	0.02278888008462193
RSPO1	SOX9	0.02274295908780049
CTNNB1	DKK1	0.02267540681273997
FGF9	NR5A1	0.02255603352092873
NR5A1	SRY	0.022494306751877427
DKK1	FOXL2	0.022412697878818284
WNT4	FGF9	0.022328607168412028
SRY	DHH	0.02231650892120863
WNT4	WT1pKTS	0.02222038372703649
DHH	NR5A1	0.02212986661793052
SRY	WNT4	0.021695311636182588
CBX2	DKK1	0.021629967782137546
WT1pKTS	DKK1	0.021553604501560603
PGD2	CBX2	0.021320469592035915
FGF9	WNT4	0.021316158911095076
DMRT1	NR0B1	0.021305501942102713
WT1pKTS	DMRT1	0.021263551736453692
GATA4	NR0B1	0.020957405468598277
WNT4	DHH	0.020535877290133824
WT1mKTS	NR5A1	0.02010054920793963
DHH	CBX2	0.019697937881240628
CBX2	WT1pKTS	0.01959830980263043
AMH	SRY	0.019489596535590268
CBX2	WNT4	0.01945862952713142
FGF9	CBX2	0.019382009424813475
CBX2	CTNNB1	0.01929051547276519
DHH	UGR	0.019138369555389438
PGD2	NR5A1	0.018660153750064586
FOXL2	NR0B1	0.018457395852327675
FGF9	UGR	0.01791404641605791
WNT4	PGD2	0.0178790203028721
SOX9	NR0B1	0.01781400715353382
WNT4	AMH	0.01775039565143211
PGD2	WNT4	0.017711755677770294
NR5A1	AMH	0.01753637509749579
UGR	NR5A1	0.01750948483124296
AMH	NR5A1	0.017454941585350738
AMH	UGR	0.017387553954523467
UGR	RSPO1	0.017202344871802746
RSPO1	SRY	0.017076552413955916
WT1pKTS	UGR	0.01676453269279642
WNT4	SRY	0.016744418737191777
DHH	WNT4	0.016392607118876912
UGR	CTNNB1	0.01634091534395202
WT1pKTS	NR0B1	0.01605664198897966
PGD2	UGR	0.015595312606860411
DKK1	RSPO1	0.015473929420489299
UGR	WT1pKTS	0.015321399574990279
SOX9	WT1pKTS	0.01519364347700077
NR5A1	FGF9	0.014807505197708877
AMH	CBX2	0.014391171600440202
DMRT1	RSPO1	0.014270752550712282
NR0B1	WT1pKTS	0.013350861361051285
NR5A1	DMRT1	0.013297797271250442
WT1mKTS	WNT4	0.013254435471639167
NR5A1	DHH	0.013162802784878603
WT1pKTS	WNT4	0.01278272479978855
AMH	WNT4	0.012599442712706774
PGD2	RSPO1	0.011841625683670424
FOXL2	UGR	0.01176480836050986
FGF9	RSPO1	0.011282237794839122
NR5A1	DKK1	0.011145316497318177
UGR	FOXL2	0.010986917396757494
CBX2	FOXL2	0.01070284190098149
NR0B1	SOX9	0.010559614870441634
NR5A1	PGD2	0.010479167406931448
SOX9	CTNNB1	0.010351422254677145
CTNNB1	SOX9	0.010277469961669373
UGR	DMRT1	0.009881400480417689
RSPO1	DKK1	0.009804550746672362
GATA4	WNT4	0.009723699411593349
FOXL2	DMRT1	0.009550286181328017
SOX9	FOXL2	0.009370773366156956
RSPO1	DHH	0.009247782704067321
FGF9	WT1pKTS	0.008970853443013195
RSPO1	DMRT1	0.00890404412156458
WT1mKTS	FOXL2	0.008876120027306056
PGD2	WT1pKTS	0.008636256213501024
UGR	DKK1	0.008452435521752368
FOXL2	DKK1	0.008081091292365764
WT1mKTS	RSPO1	0.007643037347296907
GATA4	SRY	0.007599077964024848
UGR	SOX9	0.00754893846648981
WT1mKTS	SRY	0.007414497057673061
GATA4	CTNNB1	0.007370813888713666
GATA4	RSPO1	0.007131164375838353
DHH	WT1pKTS	0.00707641991165341
CBX2	SOX9	0.006987840438821051
RSPO1	PGD2	0.006828294570921954
AMH	RSPO1	0.006763326108938482
WT1mKTS	CTNNB1	0.006729700115155726
NR0B1	DMRT1	0.00651328199246604
AMH	WT1pKTS	0.006413208886543266
DHH	RSPO1	0.006237374056654059
GATA4	FOXL2	0.0059927417162848285
FGF9	CTNNB1	0.005675005148291504
WT1pKTS	SOX9	0.00561829047910145
RSPO1	FGF9	0.005611884285866835
NR0B1	DKK1	0.005599171138921258
RSPO1	AMH	0.005574484061674179
UGR	AMH	0.005468008059630247
CBX2	DHH	0.005337764888674613
DHH	CTNNB1	0.005305152231106927
CBX2	PGD2	0.005072679891332566
UGR	DHH	0.0049744453570796645
CTNNB1	AMH	0.004197132414402452
PGD2	CTNNB1	0.004162225935764177
AMH	CTNNB1	0.004062691368826777
DHH	FOXL2	0.004023349965728316
CTNNB1	PGD2	0.003969864502138173
CTNNB1	DHH	0.003936942099712927
WT1mKTS	DMRT1	0.003915043092185728
AMH	FOXL2	0.003903087045120748
CBX2	AMH	0.0038797404458228344
FGF9	FOXL2	0.003871730191600254
CTNNB1	FGF9	0.0038626631640570563
UGR	FGF9	0.0037271700809340252
PGD2	FOXL2	0.0036488396370269313
FOXL2	SOX9	0.003587090029977475
CBX2	FGF9	0.003546485001209467
GATA4	SOX9	0.0035365362899082665
WT1mKTS	SOX9	0.0034877000523438773
GATA4	DMRT1	0.0034858465268787736
WT1pKTS	PGD2	0.0034624247483028632
WT1pKTS	FGF9	0.003356457190703696
WT1mKTS	AMH	0.003351179905328652
GATA4	DKK1	0.0031335501136322435
WT1pKTS	AMH	0.002958654697739926
UGR	PGD2	0.0029120222044396508
WT1pKTS	DHH	0.0029059191676598806
WT1mKTS	DKK1	0.002900820003321718
FOXL2	FGF9	0.0027685091506076446
GATA4	FGF9	0.0026888979181077795
FOXL2	AMH	0.0026589119598580202
FOXL2	DHH	0.002454661964714876
GATA4	AMH	0.0024148273648820053
WT1mKTS	DHH	0.0023971672520934255
GATA4	DHH	0.0021794257354340917
WT1mKTS	FGF9	0.0021223268245484854
WT1mKTS	PGD2	0.0020502510291425633
FOXL2	PGD2	0.0019463065467532654
GATA4	PGD2	0.0017213928207560948
