Gene1	Gene2	corVal	pValue
DHH	NR5A1	0.0975627503852235	1.34776724772184e-05
NR5A1	DHH	0.0975627503852235	1.34776724772184e-05
WNT4	CBX2	0.0933093870558419	3.16009226722707e-05
CBX2	WNT4	0.0933093870558419	3.16009226722707e-05
GATA4	WNT4	0.0918130058536677	4.22920935513778e-05
WNT4	GATA4	0.0918130058536676	4.22920935513782e-05
SOX9	FGF9	0.091152733446234	4.80288523112802e-05
FGF9	SOX9	0.0911527334462339	4.80288523112806e-05
WT1pKTS	DKK1	0.0871989319184862	0.00010107154697167
DKK1	WT1pKTS	0.0871989319184862	0.000101071546971671
CTNNB1	FGF9	0.0815964204869209	0.000275472111340654
FGF9	CTNNB1	0.0815964204869208	0.000275472111340657
WT1mKTS	FOXL2	0.081259576725556	0.000292028115509518
FOXL2	WT1mKTS	0.0812595767255559	0.000292028115509519
NR0B1	FOXL2	0.0788546811112589	0.000440203398474842
FOXL2	NR0B1	0.0788546811112587	0.000440203398474858
WNT4	WT1pKTS	0.074778762652811	0.000860596904922065
WT1pKTS	WNT4	0.0747787626528108	0.000860596904922097
WT1pKTS	NR0B1	0.0728111005009397	0.00117613367614321
NR0B1	WT1pKTS	0.0728111005009396	0.00117613367614322
NR5A1	PGD2	0.0679755639762895	0.00245684049200108
PGD2	NR5A1	0.0679755639762894	0.00245684049200109
WNT4	WT1mKTS	0.0661614380098657	0.00320251359225146
WT1mKTS	WNT4	0.0661614380098657	0.00320251359225147
FOXL2	FGF9	0.0659100542087964	0.00332071785431453
FGF9	FOXL2	0.0659100542087963	0.00332071785431457
AMH	DKK1	0.0631426308893066	0.00491073689765741
DKK1	AMH	0.0631426308893065	0.00491073689765742
FOXL2	PGD2	0.0629648628304991	0.00503327084440334
PGD2	FOXL2	0.0629648628304991	0.00503327084440334
SRY	FGF9	0.0629170922771027	0.00506666618193462
FGF9	SRY	0.0629170922771027	0.00506666618193467
DMRT1	FGF9	0.0628539117428238	0.00511114168516693
FGF9	DMRT1	0.0628539117428238	0.00511114168516695
WT1mKTS	WT1pKTS	0.0601785206814282	0.00735028675589545
WT1pKTS	WT1mKTS	0.0601785206814282	0.00735028675589551
RSPO1	DMRT1	0.0566729519672414	0.0115983594120464
DMRT1	RSPO1	0.0566729519672414	0.0115983594120465
GATA4	WT1pKTS	0.0560937011430216	0.0124792503096562
WT1pKTS	GATA4	0.0560937011430216	0.0124792503096562
GATA4	CTNNB1	0.0557543915057757	0.0130223071456882
CTNNB1	GATA4	0.0557543915057756	0.0130223071456883
NR5A1	AMH	0.0538814434489397	0.0164121523996264
AMH	NR5A1	0.0538814434489396	0.0164121523996267
DHH	DKK1	0.053810039760598	0.0165554645115175
DKK1	DHH	0.053810039760598	0.0165554645115176
NR0B1	GATA4	0.0511560591558836	0.0227218137729934
GATA4	NR0B1	0.0511560591558835	0.0227218137729936
WT1mKTS	DHH	0.0491942775492881	0.0284800325799084
DHH	WT1mKTS	0.0491942775492881	0.0284800325799084
AMH	WT1mKTS	0.0485106767306077	0.0307623603098513
WT1mKTS	AMH	0.0485106767306076	0.0307623603098514
WT1pKTS	UGR	0.0480169366262754	0.0325068511018617
UGR	WT1pKTS	0.0480169366262753	0.032506851101862
GATA4	FOXL2	0.0471353734212838	0.0358324962976397
FOXL2	GATA4	0.0471353734212838	0.0358324962976398
RSPO1	WT1mKTS	0.046426750332429	0.038711965698724
WT1mKTS	RSPO1	0.0464267503324289	0.0387119656987243
SRY	WNT4	0.0464146565913837	0.0387627655244663
WNT4	SRY	0.0464146565913836	0.0387627655244666
GATA4	RSPO1	0.0444543880358241	0.0477795781126397
RSPO1	GATA4	0.0444543880358241	0.0477795781126397
CBX2	WT1pKTS	0.0440823664015883	0.049676012823155
WT1pKTS	CBX2	0.0440823664015882	0.0496760128231551
DMRT1	WT1mKTS	0.0440297968565208	0.0499490133836257
WT1mKTS	DMRT1	0.0440297968565207	0.0499490133836258
WT1mKTS	SRY	0.0434303095705897	0.0531520952198972
SRY	WT1mKTS	0.0434303095705896	0.0531520952198979
SOX9	WT1mKTS	0.04002500255683	0.0747591635942887
WT1mKTS	SOX9	0.0400250025568299	0.0747591635942891
AMH	DMRT1	0.0383997503016971	0.0873533254606974
DMRT1	AMH	0.0383997503016971	0.0873533254606975
AMH	GATA4	0.0377544803939749	0.09280571824541
GATA4	AMH	0.0377544803939749	0.0928057182454101
DMRT1	PGD2	0.0358845432096193	0.110159314230602
PGD2	DMRT1	0.0358845432096193	0.110159314230602
NR0B1	DMRT1	0.0332491018440322	0.138849854710299
DMRT1	NR0B1	0.0332491018440321	0.1388498547103
FGF9	GATA4	0.0331738838940321	0.139746022208464
GATA4	FGF9	0.0331738838940321	0.139746022208465
SRY	PGD2	0.0318951870339796	0.155669803635328
PGD2	SRY	0.0318951870339796	0.155669803635328
DMRT1	DHH	0.0306839702649142	0.171987783137965
DHH	DMRT1	0.0306839702649141	0.171987783137965
AMH	FOXL2	0.0300906219357985	0.180433817776335
FOXL2	AMH	0.0300906219357984	0.180433817776337
DHH	CTNNB1	0.0293303834282511	0.191700414588869
CTNNB1	DHH	0.0293303834282511	0.19170041458887
DKK1	PGD2	0.0284275905459979	0.205741101648319
PGD2	DKK1	0.0284275905459978	0.205741101648321
SRY	AMH	0.0265010233572765	0.238168433984297
AMH	SRY	0.0265010233572765	0.238168433984298
SOX9	GATA4	0.0230912657333959	0.304061215554366
GATA4	SOX9	0.0230912657333959	0.304061215554367
NR5A1	WNT4	0.0228499030720079	0.30914502710246
WNT4	NR5A1	0.0228499030720076	0.309145027102466
WT1mKTS	FGF9	0.022588524797172	0.314713382033232
FGF9	WT1mKTS	0.022588524797172	0.314713382033232
GATA4	NR5A1	0.0215424488623424	0.337654087360856
NR5A1	GATA4	0.0215424488623424	0.337654087360856
CTNNB1	AMH	0.0189283532350171	0.399541504536414
AMH	CTNNB1	0.0189283532350171	0.399541504536414
GATA4	PGD2	0.017948991395009	0.424380354245181
PGD2	GATA4	0.017948991395009	0.424380354245182
DKK1	WT1mKTS	0.0175839532864807	0.433864492762394
WT1mKTS	DKK1	0.0175839532864807	0.433864492762394
SOX9	AMH	0.0163353772609333	0.467214506354022
AMH	SOX9	0.0163353772609332	0.467214506354025
CTNNB1	SOX9	0.0141683651302923	0.528325837202482
SOX9	CTNNB1	0.0141683651302922	0.528325837202483
WT1mKTS	PGD2	0.0139736669280503	0.534009071626013
PGD2	WT1mKTS	0.0139736669280503	0.534009071626014
FGF9	DKK1	0.0120288552199306	0.592416693262996
DKK1	FGF9	0.0120288552199305	0.592416693262999
NR0B1	DKK1	0.0115843631389896	0.606165941549706
DKK1	NR0B1	0.0115843631389895	0.606165941549711
NR5A1	WT1mKTS	0.0115345169355455	0.607716664752527
WT1mKTS	NR5A1	0.0115345169355455	0.607716664752529
GATA4	DKK1	0.0102937592222509	0.646871013036723
DKK1	GATA4	0.0102937592222509	0.646871013036724
FOXL2	WNT4	0.00953787565270511	0.671221680695163
WNT4	FOXL2	0.00953787565270495	0.671221680695168
PGD2	WT1pKTS	0.00831338767925037	0.7114007438812
WT1pKTS	PGD2	0.00831338767925036	0.711400743881201
DHH	GATA4	0.00756747715889548	0.736283642742601
GATA4	DHH	0.00756747715889547	0.736283642742601
WT1pKTS	RSPO1	0.00705898607813522	0.753408158453304
RSPO1	WT1pKTS	0.00705898607813501	0.753408158453311
WT1mKTS	CTNNB1	0.00606275945985364	0.787304652350453
CTNNB1	WT1mKTS	0.00606275945985358	0.787304652350455
FOXL2	SOX9	0.00511337945276744	0.819987355510813
SOX9	FOXL2	0.00511337945276731	0.819987355510818
GATA4	CBX2	-0.00286504406255981	0.898542479271296
CBX2	GATA4	-0.00286504406255986	0.898542479271294
WT1mKTS	UGR	-0.004018008583622	0.858084228881927
UGR	WT1mKTS	-0.00401800858362205	0.858084228881925
CBX2	NR0B1	-0.00459408533028259	0.838001248599066
NR0B1	CBX2	-0.00459408533028262	0.838001248599065
PGD2	CTNNB1	-0.00768743978916222	0.732262299465594
CTNNB1	PGD2	-0.00768743978916231	0.732262299465591
UGR	NR5A1	-0.00987250549032956	0.660397127196617
NR5A1	UGR	-0.00987250549032966	0.660397127196614
RSPO1	AMH	-0.0101256113086576	0.652256454665266
AMH	RSPO1	-0.0101256113086576	0.652256454665265
SOX9	NR0B1	-0.011522765447233	0.608082512809794
NR0B1	SOX9	-0.011522765447233	0.608082512809792
DHH	SRY	-0.0118596535063418	0.597633671091527
SRY	DHH	-0.0118596535063419	0.597633671091525
WT1pKTS	DHH	-0.0129090063921785	0.565622065546842
DHH	WT1pKTS	-0.0129090063921786	0.565622065546839
RSPO1	DKK1	-0.0137545697931628	0.540441194232382
DKK1	RSPO1	-0.0137545697931629	0.540441194232379
RSPO1	PGD2	-0.0139576857593907	0.534476927839047
PGD2	RSPO1	-0.0139576857593908	0.534476927839044
UGR	FOXL2	-0.0144866410424198	0.519102134047394
FOXL2	UGR	-0.0144866410424199	0.51910213404739
AMH	WT1pKTS	-0.0145298368788932	0.517856743804223
WT1pKTS	AMH	-0.0145298368788935	0.517856743804217
SOX9	RSPO1	-0.0159722643513165	0.477173485511177
RSPO1	SOX9	-0.0159722643513167	0.477173485511172
DKK1	CTNNB1	-0.0166653752952156	0.458264556747786
CTNNB1	DKK1	-0.0166653752952157	0.458264556747783
FGF9	UGR	-0.01961794921616	0.382587928190049
UGR	FGF9	-0.01961794921616	0.382587928190048
UGR	WNT4	-0.022211188561289	0.322867576893569
WNT4	UGR	-0.0222111885612892	0.322867576893566
DHH	WNT4	-0.022449061584135	0.31771126917327
WNT4	DHH	-0.022449061584135	0.317711269173269
CBX2	WT1mKTS	-0.0232298155627953	0.301168154616578
WT1mKTS	CBX2	-0.0232298155627954	0.301168154616577
WT1pKTS	SOX9	-0.0243526164804787	0.278400007675511
SOX9	WT1pKTS	-0.0243526164804787	0.278400007675511
FOXL2	DMRT1	-0.0247097948989062	0.271409155073177
DMRT1	FOXL2	-0.0247097948989062	0.271409155073176
SRY	CBX2	-0.0284651905609381	0.205141814545443
CBX2	SRY	-0.0284651905609381	0.205141814545443
GATA4	DMRT1	-0.0377069643392204	0.0932177769332451
DMRT1	GATA4	-0.0377069643392205	0.093217776933245
GATA4	UGR	-0.0393728674205035	0.0796221096880622
UGR	GATA4	-0.0393728674205035	0.0796221096880617
FGF9	RSPO1	-0.0406919908770759	0.0700390153182642
RSPO1	FGF9	-0.0406919908770759	0.0700390153182638
WNT4	AMH	-0.0411952265335574	0.0666418419018641
AMH	WNT4	-0.0411952265335574	0.066641841901864
WNT4	PGD2	-0.043881121716389	0.0507279152011717
PGD2	WNT4	-0.0438811217163891	0.0507279152011711
DKK1	UGR	-0.0476317357113111	0.0339260181734998
UGR	DKK1	-0.0476317357113112	0.0339260181734997
CBX2	DMRT1	-0.050910215843358	0.0233830290108753
DMRT1	CBX2	-0.0509102158433581	0.0233830290108752
CBX2	AMH	-0.0520319466270278	0.0204962465891309
AMH	CBX2	-0.0520319466270278	0.0204962465891308
UGR	SOX9	-0.052383818787144	0.019657131296085
SOX9	UGR	-0.0523838187871441	0.0196571312960847
DHH	UGR	-0.0530951263739472	0.0180519799802743
UGR	DHH	-0.0530951263739472	0.0180519799802741
UGR	AMH	-0.0533076283304647	0.017595250662258
AMH	UGR	-0.0533076283304647	0.0175952506622578
WT1pKTS	FGF9	-0.0561889866301611	0.0123303970350006
FGF9	WT1pKTS	-0.0561889866301612	0.0123303970350005
WNT4	DKK1	-0.0563133937948747	0.0121384170386908
DKK1	WNT4	-0.0563133937948748	0.0121384170386908
CBX2	DHH	-0.0566175816961933	0.0116801126490611
DHH	CBX2	-0.0566175816961933	0.0116801126490611
RSPO1	DHH	-0.0569678524238247	0.0111714331680275
DHH	RSPO1	-0.0569678524238247	0.0111714331680275
RSPO1	SRY	-0.0594232435496038	0.00812476925175325
SRY	RSPO1	-0.0594232435496039	0.00812476925175321
CTNNB1	NR5A1	-0.0688623363077128	0.0021534521598708
NR5A1	CTNNB1	-0.068862336307713	0.00215345215987074
FOXL2	CBX2	-0.0752282093526518	0.000800510846937472
CBX2	FOXL2	-0.0752282093526519	0.000800510846937452
WNT4	SOX9	-0.0771611910391118	0.000583828897264716
SOX9	WNT4	-0.077161191039112	0.000583828897264702
FOXL2	SRY	-0.0777649329435752	0.000528248408634407
SRY	FOXL2	-0.0777649329435755	0.000528248408634383
DKK1	FOXL2	-0.078092499105488	0.000500195015124547
FOXL2	DKK1	-0.0780924991054882	0.000500195015124532
PGD2	UGR	-0.0826107603850802	0.000230770389363126
UGR	PGD2	-0.0826107603850803	0.000230770389363125
CTNNB1	SRY	-0.0885094225766205	7.92471478093192e-05
SRY	CTNNB1	-0.0885094225766206	7.92471478093183e-05
PGD2	CBX2	-0.0897574677217421	6.26659677652178e-05
CBX2	PGD2	-0.0897574677217422	6.26659677652173e-05
CBX2	FGF9	-0.0908917719216971	5.04934163874326e-05
FGF9	CBX2	-0.0908917719216971	5.04934163874324e-05
CBX2	CTNNB1	-0.091091893876578	4.85930301637328e-05
CTNNB1	CBX2	-0.0910918938765781	4.85930301637315e-05
NR5A1	DKK1	-0.0938486101535422	2.84204008753091e-05
DKK1	NR5A1	-0.0938486101535423	2.8420400875309e-05
WNT4	FGF9	-0.0979849328058736	1.23607075076551e-05
FGF9	WNT4	-0.0979849328058736	1.23607075076551e-05
CBX2	SOX9	-0.0985641284517632	1.0971144572981e-05
SOX9	CBX2	-0.0985641284517633	1.09711445729808e-05
DMRT1	WNT4	-0.0993030850319875	9.41369848681757e-06
WNT4	DMRT1	-0.0993030850319876	9.41369848681744e-06
WT1pKTS	CTNNB1	-0.100589114179373	7.19338547001174e-06
CTNNB1	WT1pKTS	-0.100589114179373	7.1933854700117e-06
NR0B1	NR5A1	-0.101180989087271	6.34879791229653e-06
NR5A1	NR0B1	-0.101180989087272	6.34879791229622e-06
FGF9	NR0B1	-0.102921868508917	4.37940972094947e-06
NR0B1	FGF9	-0.102921868508917	4.37940972094945e-06
DMRT1	UGR	-0.103189261588822	4.13441940759437e-06
UGR	DMRT1	-0.103189261588822	4.13441940759434e-06
PGD2	NR0B1	-0.103377828797363	3.96960088235226e-06
NR0B1	PGD2	-0.103377828797364	3.96960088235212e-06
DHH	NR0B1	-0.103736017969001	3.67369151968291e-06
NR0B1	DHH	-0.103736017969001	3.6736915196829e-06
CTNNB1	DMRT1	-0.107003981479078	1.79088031739247e-06
DMRT1	CTNNB1	-0.107003981479078	1.79088031739245e-06
NR5A1	FOXL2	-0.110983711745532	7.25541455262637e-07
FOXL2	NR5A1	-0.110983711745532	7.25541455262622e-07
UGR	SRY	-0.113242177568433	4.2844290804005e-07
SRY	UGR	-0.113242177568434	4.28442908040047e-07
RSPO1	UGR	-0.115216485172965	2.6809422965492e-07
UGR	RSPO1	-0.115216485172965	2.68094229654915e-07
CBX2	RSPO1	-0.115522677911266	2.49119409875964e-07
RSPO1	CBX2	-0.115522677911266	2.49119409875961e-07
NR0B1	AMH	-0.117067449857575	1.71525157418469e-07
AMH	NR0B1	-0.117067449857576	1.71525157418464e-07
NR5A1	DMRT1	-0.118990617570005	1.07064058535805e-07
DMRT1	NR5A1	-0.118990617570005	1.07064058535801e-07
DKK1	CBX2	-0.123493286521197	3.44977580712334e-08
CBX2	DKK1	-0.123493286521197	3.44977580712328e-08
CTNNB1	UGR	-0.143728894606053	1.27814157372561e-10
UGR	CTNNB1	-0.143728894606053	1.27814157372552e-10
UGR	NR0B1	-0.147429010804015	4.19322996916812e-11
NR0B1	UGR	-0.147429010804015	4.19322996916802e-11
RSPO1	NR5A1	-0.217976912867646	9.33730752935739e-23
NR5A1	RSPO1	-0.217976912867646	9.33730752935685e-23
WT1pKTS	FOXL2	-0.291150477878679	4.82347242576407e-40
FOXL2	WT1pKTS	-0.291150477878679	4.82347242576344e-40
